Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
lp001002,male,no,0,graduate,no,5849,0,1,360,1,urban,y
lp001003,male,yes,1,graduate,no,4583,1508,128,360,1,rural,n
lp001005,male,yes,0,graduate,yes,3000,0,66,360,1,urban,y
lp001006,male,yes,0,not graduate,no,2583,2358,120,360,1,urban,y
lp001008,male,no,0,graduate,no,6000,0,141,360,1,urban,y
lp001011,male,yes,2,graduate,yes,5417,4196,267,360,1,urban,y
lp001013,male,yes,0,not graduate,no,2333,1516,95,360,1,urban,y
lp001014,male,yes,3,graduate,no,3036,2504,158,360,0,semiurban,n
lp001018,male,yes,2,graduate,no,4006,1526,168,360,1,urban,y
lp001020,male,yes,1,graduate,no,12841,10968,349,360,1,semiurban,n
lp001024,male,yes,2,graduate,no,3200,700,70,360,1,urban,y
lp001027,male,yes,2,graduate,no,2500,1840,109,360,1,urban,y
lp001028,male,yes,2,graduate,no,3073,8106,200,360,1,urban,y
lp001029,male,no,0,graduate,no,1853,2840,114,360,1,rural,n
lp001030,male,yes,2,graduate,no,1299,1086,17,120,1,urban,y
lp001032,male,no,0,graduate,no,4950,0,125,360,1,urban,y
lp001034,male,no,1,not graduate,no,3596,0,100,240,1,urban,y
lp001036,female,no,0,graduate,no,3510,0,76,360,0,urban,n
lp001038,male,yes,0,not graduate,no,4887,0,133,360,1,rural,n
lp001041,male,yes,0,graduate,no,2600,3500,115,342,1,urban,y
lp001043,male,yes,0,not graduate,no,7660,0,104,360,0,urban,n
lp001046,male,yes,1,graduate,no,5955,5625,315,360,1,urban,y
lp001047,male,yes,0,not graduate,no,2600,1911,116,360,0,semiurban,n
lp001050,male,yes,2,not graduate,no,3365,1917,112,360,0,rural,n
lp001052,male,yes,1,graduate,no,3717,2925,151,360,1,semiurban,n
lp001066,male,yes,0,graduate,yes,9560,0,191,360,1,semiurban,y
lp001068,male,yes,0,graduate,no,2799,2253,122,360,1,semiurban,y
lp001073,male,yes,2,not graduate,no,4226,1040,110,360,1,urban,y
lp001086,male,no,0,not graduate,no,1442,0,35,360,1,urban,n
lp001087,female,no,2,graduate,no,3750,2083,120,360,1,semiurban,y
lp001091,male,yes,1,graduate,no,4166,3369,201,360,1,urban,n
lp001095,male,no,0,graduate,no,3167,0,74,360,1,urban,n
lp001097,male,no,1,graduate,yes,4692,0,106,360,1,rural,n
lp001098,male,yes,0,graduate,no,3500,1667,114,360,1,semiurban,y
lp001100,male,no,3,graduate,no,12500,3000,320,360,1,rural,n
lp001106,male,yes,0,graduate,no,2275,2067,1,360,1,urban,y
lp001109,male,yes,0,graduate,no,1828,1330,100,342,0,urban,n
lp001112,female,yes,0,graduate,no,3667,1459,144,360,1,semiurban,y
lp001114,male,no,0,graduate,no,4166,7210,184,360,1,urban,y
lp001116,male,no,0,not graduate,no,3748,1668,110,360,1,semiurban,y
lp001119,male,no,0,graduate,no,3600,0,80,360,1,urban,n
lp001120,male,no,0,graduate,no,1800,1213,47,360,1,urban,y
lp001123,male,yes,0,graduate,no,2400,0,75,360,1,urban,y
lp001131,male,yes,0,graduate,no,3941,2336,134,360,1,semiurban,y
lp001136,male,yes,0,not graduate,yes,4695,0,96,342,1,urban,y
lp001137,female,no,0,graduate,no,3410,0,88,342,1,urban,y
lp001138,male,yes,1,graduate,no,5649,0,44,360,1,urban,y
lp001144,male,yes,0,graduate,no,5821,0,144,360,1,urban,y
lp001146,female,yes,0,graduate,no,2645,3440,120,360,0,urban,n
lp001151,female,no,0,graduate,no,4000,2275,144,360,1,semiurban,y
lp001155,female,yes,0,not graduate,no,1928,1644,100,360,1,semiurban,y
lp001157,female,no,0,graduate,no,3086,0,120,360,1,semiurban,y
lp001164,female,no,0,graduate,no,4230,0,112,360,1,semiurban,n
lp001179,male,yes,2,graduate,no,4616,0,134,360,1,urban,n
lp001186,female,yes,1,graduate,yes,11500,0,286,360,0,urban,n
lp001194,male,yes,2,graduate,no,2708,1167,97,360,1,semiurban,y
lp001195,male,yes,0,graduate,no,2132,1591,96,360,1,semiurban,y
lp001197,male,yes,0,graduate,no,3366,2200,135,360,1,rural,n
lp001198,male,yes,1,graduate,no,8080,2250,180,360,1,urban,y
lp001199,male,yes,2,not graduate,no,3357,2859,144,360,1,urban,y
lp001205,male,yes,0,graduate,no,2500,3796,120,360,1,urban,y
lp001206,male,yes,3,graduate,no,3029,0,99,360,1,urban,y
lp001207,male,yes,0,not graduate,yes,2609,3449,165,180,0,rural,n
lp001213,male,yes,1,graduate,no,4945,0,1,360,0,rural,n
lp001222,female,no,0,graduate,no,4166,0,116,360,0,semiurban,n
lp001225,male,yes,0,graduate,no,5726,4595,258,360,1,semiurban,n
lp001228,male,no,0,not graduate,no,3200,2254,126,180,0,urban,n
lp001233,male,yes,1,graduate,no,10750,0,312,360,1,urban,y
lp001238,male,yes,3,not graduate,yes,7100,0,125,60,1,urban,y
lp001241,female,no,0,graduate,no,4300,0,136,360,0,semiurban,n
lp001243,male,yes,0,graduate,no,3208,3066,172,360,1,urban,y
lp001245,male,yes,2,not graduate,yes,1875,1875,97,360,1,semiurban,y
lp001248,male,no,0,graduate,no,3500,0,81,300,1,semiurban,y
lp001250,male,yes,3,not graduate,no,4755,0,95,342,0,semiurban,n
lp001253,male,yes,3,graduate,yes,5266,1774,187,360,1,semiurban,y
lp001255,male,no,0,graduate,no,3750,0,113,480,1,urban,n
lp001256,male,no,0,graduate,no,3750,4750,176,360,1,urban,n
lp001259,male,yes,1,graduate,yes,1000,3022,110,360,1,urban,n
lp001263,male,yes,3,graduate,no,3167,4000,180,300,0,semiurban,n
lp001264,male,yes,3,not graduate,yes,3333,2166,130,360,1,semiurban,y
lp001265,female,no,0,graduate,no,3846,0,111,360,1,semiurban,y
lp001266,male,yes,1,graduate,yes,2395,0,1,360,1,semiurban,y
lp001267,female,yes,2,graduate,no,1378,1881,167,360,1,urban,n
lp001273,male,yes,0,graduate,no,6000,2250,265,360,1,semiurban,n
lp001275,male,yes,1,graduate,no,3988,0,50,240,1,urban,y
